timestamp,q01,q02,q05,q06,q07,q08,q09,q11,q12_genderbalance,q12_diversity,q12_equity,q12_inclusion,q14,q17_genderbalance,q17_diversity,q17_equity,q17_inclusion,q19,q03_regional,q04_regional,q01_clustered,q13_clustered,q01q02_clustered,q13q14_clustered,q10_binned,q13_binned,q15_polarity,q15_subjectivity,q16_polarity,q16_subjectivity,q18_polarity,q18_subjectivity,q20_polarity,q20_subjectivity,q21_polarity,q21_subjectivity,q22_polarity,q22_subjectivity
2023-07-08,50s,Male,Permanent staff,GA: Gamma-ray astronomy,Experimentalist,> 10 years,Yes,Yes,Good,Good,Good,Good,Good,Agree,Agree,Agree,Agree,Junior High school,Asia,Asia,Cluster2,Others,Others,Cluster2,1,30%,,,,,,,,,,,,
2023-07-08,30s,Female,Fixed-term staff,GA: Gamma-ray astronomy,Experimentalist,5 - 10 yeas,Yes,No,Good,Poor,Good,Good,Very Poor,Agree,Agree,Agree,Agree,Elementary school,Asia,Asia,Cluster1,Cluster1,Cluster1,Cluster1,(rare),10%,,,,,,,,,,,,
2023-07-08,30s,Male,Permanent staff,NU: Neutrino astronomy & physics,Experimentalist,1 - 3 years,Yes,Yes,Good,Good,Good,Good,Good,Agree,Agree,Agree,Agree,Pre school,Asia,Asia,Cluster1,Cluster1,Cluster2,Others,4,20%,,,,,,,,,,,,
2023-07-08,30s,Male,Permanent staff,CRD: Cosmic-ray physics (Direct),Experimentalist,> 10 years,Prefer not to answer,Prefer not to answer,Good,Good,Good,Good,Poor,Agree,Agree,Agree,Agree,High school,Asia,Europe,Cluster1,Cluster1,Cluster2,Cluster1,Prefer not to answer,20%,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-08,60s,Male,Permanent staff,MM&GW: Multimessenger & gravitational wave,Experimentalist,> 10 years,Yes,No,Good,Good,Good,Good,Poor,Agree,Agree,Agree,Agree,Pre school,Asia,Asia,Cluster2,Cluster1,Others,Cluster1,0,10%,,,,,,,,,,,,
2023-07-08,60s,Male,Permanent staff,GA: Gamma-ray astronomy,Experimentalist,> 10 years,Yes,No,Good,Poor,Very Good,Good,Good,Agree,Agree,Agree,Agree,Junior High school,Asia,Asia,Cluster2,Others,Others,Cluster2,1,30%,,,,,,,-0.075,0.4,-0.125,0.375,,
2023-07-08,20s,Female,Undergraduate,GA: Gamma-ray astronomy,Theorist,< 1 year,Yes,No,Poor,Poor,Good,Good,Very Poor,Agree,Agree,Agree,Agree,Junior High school,America,America,Cluster1,Cluster1,Cluster1,Cluster1,3,10%,,,,,,,,,,,,
2023-07-08,50s,Male,Permanent staff,GA: Gamma-ray astronomy,Theorist,> 10 years,Yes,No,No interest,No interest,Good,Good,No interest,No interest,No interest,Agree,Agree,Elementary school,Asia,Asia,Cluster2,Cluster1,Others,Others,0,0%,,,,,0.2433333333333333,0.383611111111111,,,,,,
2023-07-08,30s,Female,Permanent staff,CRI: Cosmic-ray physics (Indirect),Experimentalist,5 - 10 yeas,Yes,No,Poor,Very Poor,Poor,Poor,Good,Disagree,Agree,Disagree,Agree,Prefer not to answer,Asia,Asia,Cluster1,Others,Cluster1,Cluster2,(rare),30%,,,,,0.2321428571428571,0.5535714285714286,-0.023015873015873,0.1857142857142857,,,,
2023-07-08,30s,Female,Postdoc,CRD: Cosmic-ray physics (Direct),Theorist,3 - 5 years,No,Yes,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Agree,Agree,Agree,Agree,Pre school,Europe,Europe,Cluster1,Others,Cluster1,Others,1,25%,,,,,,,-0.0363636363636363,0.4727272727272727,-0.1,0.3,,
2023-07-08,40s,Male,Fixed-term staff,SH: Solar & heliospheric physics,Experimentalist,> 10 years,No,Yes,Good,Poor,Good,Poor,Good,No interest,Agree,Agree,Agree,Junior High school,Asia,Europe,Cluster2,Cluster2,Others,Cluster2,1,60%,,,,,,,,,,,,
2023-07-08,30s,Female,Permanent staff,CRI: Cosmic-ray physics (Indirect),Theorist,5 - 10 yeas,Prefer not to answer,Yes,Poor,Poor,Poor,Poor,Poor,Agree,Agree,Agree,Agree,Junior High school,Europe,Europe,Cluster1,Cluster1,Cluster1,Cluster1,1,15%,,,0.0,0.0,,,,,0.2,0.5,,
2023-07-08,30s,Male,Fixed-term staff,CRI: Cosmic-ray physics (Indirect),Experimentalist,> 10 years,No,No,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Agree,Agree,Agree,Agree,Elementary school,Europe,Europe,Cluster1,Cluster1,Cluster2,Cluster1,(rare),0%,,,,,,,0.0,0.0,,,,
2023-07-08,30s,Male,Postdoc,MM&GW: Multimessenger & gravitational wave,Theorist,5 - 10 yeas,Yes,No,Very Good,Very Good,Very Good,Very Good,No interest,No interest,Agree,No interest,Agree,Pre school,Europe,Asia,Cluster1,Cluster2,Cluster2,Others,5,40%,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-08,40s,Male,Fixed-term staff,GA: Gamma-ray astronomy,Experimentalist,> 10 years,No,Prefer not to answer,Poor,Good,Good,Good,No interest,Disagree,Disagree,Agree,Agree,Elementary school,Asia,Asia,Cluster2,Cluster1,Others,Others,2,15%,,,0.2166666666666666,0.4083333333333333,0.2166666666666666,0.4083333333333333,0.1,0.4,,,,
2023-07-08,30s,Female,Fixed-term staff,CRI: Cosmic-ray physics (Indirect),Experimentalist,> 10 years,No,No,Good,Good,Good,Poor,Poor,Disagree,Agree,Agree,Agree,Pre school,America,Europe,Cluster1,Cluster1,Cluster1,Cluster1,1,20%,,,,,,,,,,,,
2023-07-08,20s,Female,Doctrate,NU: Neutrino astronomy & physics,Experimentalist,1 - 3 years,Yes,No,Good,Good,Poor,Poor,Poor,Agree,Agree,Agree,Agree,Elementary school,Europe,Europe,Cluster1,Others,Cluster1,Others,1,30%,,,,,0.45,0.75,,,-0.2,0.1,,
2023-07-08,30s,Female,Permanent staff,CRI: Cosmic-ray physics (Indirect),Experimentalist,> 10 years,Yes,No,Poor,Very Poor,Good,Good,Good,Agree,Agree,Agree,Agree,Elementary school,Europe,America,Cluster1,Others,Cluster1,Cluster2,0,30%,,,,,,,,,,,,
2023-07-08,30s,Male,Postdoc,CRI: Cosmic-ray physics (Indirect),Experimentalist,3 - 5 years,Yes,No,Very Good,Very Good,Very Good,Very Good,Good,Agree,Agree,Agree,Agree,High school,Europe,Europe,Cluster1,Cluster2,Cluster2,Cluster2,Prefer not to answer,40%,,,,,,,,,,,,
2023-07-08,50s,Male,Permanent staff,CRI: Cosmic-ray physics (Indirect),Others,3 - 5 years,Yes,No,Good,Good,Good,Good,Poor,Disagree,Disagree,Agree,Agree,High school,Europe,Europe,Cluster2,Cluster1,Others,Cluster1,2,20%,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,,
2023-07-08,40s,Female,Fixed-term staff,CRI: Cosmic-ray physics (Indirect),Experimentalist,> 10 years,Yes,No,Good,Good,Good,Good,Poor,Agree,Agree,Agree,Agree,Pre school,Europe,Europe,Cluster2,Others,Others,Others,2,25%,,,,,,,,,,,,
2023-07-08,20s,Male,Master,CRI: Cosmic-ray physics (Indirect),Experimentalist,1 - 3 years,Prefer not to answer,No,Poor,Good,Good,Very Good,Good,Disagree,Agree,Agree,Agree,Junior High school,Europe,Europe,Cluster1,Others,Cluster2,Cluster2,Prefer not to answer,30%,,,,,0.0,0.75,,,0.0,0.0,,
2023-07-08,50s,Male,Prefer not to answer,MM&GW: Multimessenger & gravitational wave,Theorist,> 10 years,No,No,Good,Good,Good,Good,Good,Agree,Agree,Agree,Agree,Prefer not to answer,Asia,Asia,Cluster2,Cluster1,Others,Others,6,10%,,,,,,,,,,,,
2023-07-08,20s,Female,Doctrate,MM&GW: Multimessenger & gravitational wave,Experimentalist,1 - 3 years,Yes,No,Good,Good,Good,Very Good,Poor,Agree,Agree,Agree,Agree,High school,Europe,Europe,Cluster1,Others,Cluster1,Others,3,30%,,,,,,,,,,,,
2023-07-08,60s,Male,Permanent staff,MM&GW: Multimessenger & gravitational wave,Experimentalist,> 10 years,Yes,Yes,Very Poor,Very Poor,Poor,Poor,Very Poor,Agree,Agree,Agree,Agree,Junior High school,Asia,Asia,Cluster2,Cluster1,Others,Cluster1,0,0%,,,,,,,,,,,,
2023-07-08,20s,Male,Doctrate,CRI: Cosmic-ray physics (Indirect),Experimentalist,1 - 3 years,Yes,No,Good,Good,Good,Prefer not to answer,Good,Agree,Agree,Agree,Agree,Elementary school,Europe,Europe,Cluster1,Cluster2,Cluster2,Cluster2,2,40%,,,,,,,,,,,,
2023-07-08,20s,Female,Master,DM: Dark-matter physics,Experimentalist,< 1 year,Yes,No,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Poor,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,High school,Europe,Europe,Cluster1,Others,Cluster1,Others,2,25%,,,,,,,,,,,,
2023-07-08,40s,Male,Permanent staff,GA: Gamma-ray astronomy,Experimentalist,> 10 years,Prefer not to answer,No,Good,Good,Good,Good,Poor,Agree,Agree,Agree,Agree,Junior High school,Europe,Europe,Cluster2,Cluster1,Others,Cluster1,10+,20%,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.1,0.2,0.0,0.0
2023-07-08,50s,Male,Permanent staff,Prefer not to answer,Experimentalist,> 10 years,Yes,Yes,Poor,Poor,Good,Good,Poor,Agree,Agree,Agree,Agree,Pre school,Asia,Asia,Cluster2,Cluster1,Others,Cluster1,0,0%,0.0,0.0,0.0,0.0,,,,,0.2875,0.4875,,
2023-07-08,20s,Male,Permanent staff,NU: Neutrino astronomy & physics,Others,5 - 10 yeas,Yes,Yes,Very Poor,Very Poor,Very Good,Poor,Very Poor,Agree,Agree,Agree,Agree,Elementary school,Europe,Europe,Cluster1,Cluster1,Cluster2,Cluster1,3,10%,,,0.25,0.3333333333333333,0.175,0.6500000000000001,,,0.0,0.0,0.5,1.0
2023-07-08,30s,Female,Doctrate,CRD: Cosmic-ray physics (Direct),Experimentalist,3 - 5 years,Yes,Yes,Good,Good,Good,Good,Very Good,Agree,Agree,Agree,Agree,High school,Europe,Europe,Cluster1,Cluster2,Cluster1,Cluster2,1,50%,,,,,0.3625,0.55625,0.1166666666666666,0.5666666666666667,,,,
2023-07-08,30s,Male,Doctrate,GA: Gamma-ray astronomy,Experimentalist,3 - 5 years,Yes,Yes,Very Good,Good,Good,Good,Good,Agree,Agree,Agree,Agree,Junior High school,Europe,Africa,Cluster1,Cluster2,Cluster2,Cluster2,10+,60%,,,,,,,,,,,,
2023-07-08,20s,Male,Doctrate,CRI: Cosmic-ray physics (Indirect),Theorist,1 - 3 years,No,No,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Very Poor,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Junior High school,Europe,Europe,Cluster1,Cluster1,Cluster2,Cluster1,2,15%,,,,,,,,,,,,
2023-07-08,30s,Male,Fixed-term staff,CRI: Cosmic-ray physics (Indirect),Others,> 10 years,No,No,No interest,No interest,No interest,Good,No interest,Disagree,Disagree,Disagree,Agree,Pre school,Europe,Europe,Cluster1,Cluster2,Cluster2,Others,2,(rare),,,,,,,0.1273809523809524,0.5392857142857143,0.0,0.0,,
2023-07-08,20s,Male,Master,GA: Gamma-ray astronomy,Theorist,< 1 year,Yes,No,Good,Good,Good,Very Good,Good,Agree,Agree,Agree,Agree,Elementary school,Europe,Europe,Cluster1,Cluster2,Cluster2,Cluster2,0,40%,,,,,,,,,,,,
2023-07-08,20s,Male,Postdoc,CRI: Cosmic-ray physics (Indirect),Theorist,5 - 10 yeas,Yes,No,Poor,Poor,Good,Poor,Poor,Agree,Agree,Agree,Agree,University,Asia,America,Cluster1,Cluster1,Cluster2,Cluster1,5,10%,,,,,,,0.3333333333333333,1.0,0.1314814814814814,0.4277777777777778,,
2023-07-08,20s,Male,Doctrate,GA: Gamma-ray astronomy,Experimentalist,1 - 3 years,Yes,Yes,Poor,Poor,Good,Good,Very Poor,Agree,Agree,Agree,Agree,Junior High school,Europe,Europe,Cluster1,Cluster1,Cluster2,Cluster1,1,10%,0.0,0.0,0.0,0.0,0.16,0.325,,,0.0,0.1,,
2023-07-08,20s,Male,Doctrate,GA: Gamma-ray astronomy,Theorist,< 1 year,Yes,No,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Poor,No interest,No interest,No interest,No interest,Junior High school,Europe,Europe,Cluster1,Cluster1,Cluster2,Cluster1,2,20%,,,,,,,,,0.3666666666666667,0.45,,
2023-07-08,60s,Male,Permanent staff,SH: Solar & heliospheric physics,Theorist,> 10 years,Yes,No,Good,Good,Good,Good,Very Poor,Agree,Disagree,Agree,Disagree,Junior High school,Asia,Asia,Cluster2,Cluster1,Others,Cluster1,10+,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91,0.7800000000000001
2023-07-08,40s,Male,Permanent staff,CRI: Cosmic-ray physics (Indirect),Experimentalist,> 10 years,No,No,Poor,Good,Good,Good,Very Good,Agree,Agree,Agree,Agree,Junior High school,America,Europe,Cluster2,Others,Others,Cluster2,3,30%,0.125,0.125,,,,,0.2266666666666666,0.5633333333333334,0.0222222222222222,0.3777777777777777,,
2023-07-08,30s,Female,Permanent staff,NU: Neutrino astronomy & physics,Experimentalist,> 10 years,Yes,No,Good,Good,Good,Good,Good,Agree,Agree,Agree,Agree,Elementary school,Europe,Europe,Cluster1,Others,Cluster1,Cluster2,5,35%,,,,,0.0,0.0,,,,,,
2023-07-08,30s,Female,Doctrate,GA: Gamma-ray astronomy,Prefer not to answer,3 - 5 years,Yes,No,Poor,Very Poor,Poor,Good,Poor,Agree,Agree,Agree,Agree,Junior High school,Europe,Europe,Cluster1,Others,Cluster1,Others,(rare),25%,,,,,,,,,,,,
2023-07-08,20s,Male,Doctrate,MM&GW: Multimessenger & gravitational wave,Experimentalist,3 - 5 years,Yes,No,Very Good,Very Good,Very Good,Very Good,Good,Agree,Agree,Agree,Agree,Junior High school,Europe,Europe,Cluster1,Cluster2,Cluster2,Cluster2,2,40%,,,,,,,,,,,,
2023-07-08,30s,Female,Postdoc,GA: Gamma-ray astronomy,Others,5 - 10 yeas,No,Prefer not to answer,Poor,Very Poor,Good,Very Poor,Poor,Agree,Agree,Agree,Agree,Junior High school,Europe,Europe,Cluster1,Cluster1,Cluster1,Cluster1,5,20%,,,,,,,,,0.0,0.0,,
2023-07-08,30s,Female,Postdoc,DM: Dark-matter physics,Theorist,5 - 10 yeas,Yes,No,Poor,Good,Good,Good,Good,Agree,Agree,Agree,Agree,Junior High school,Europe,Europe,Cluster1,Cluster2,Cluster1,Cluster2,1,40%,,,,,,,,,,,,
2023-07-08,30s,Male,Postdoc,CRI: Cosmic-ray physics (Indirect),Others,5 - 10 yeas,Prefer not to answer,Yes,Very Poor,Poor,Poor,Good,Very Poor,Agree,Agree,Agree,Agree,Elementary school,Europe,Europe,Cluster1,Cluster1,Cluster2,Cluster1,1,0%,,,0.0,0.0,,,,,0.5,0.5,,
2023-07-08,20s,Male,Doctrate,CRD: Cosmic-ray physics (Direct),Experimentalist,3 - 5 years,Yes,Yes,Poor,Poor,Poor,Poor,Poor,Agree,Agree,Agree,Agree,High school,Europe,Europe,Cluster1,Others,Cluster2,Others,0,30%,,,0.25,0.3333333333333333,0.5,1.0,,,0.025,0.325,0.5,0.6666666666666667
2023-07-08,20s,Female,Doctrate,MM&GW: Multimessenger & gravitational wave,Experimentalist,3 - 5 years,Yes,No,Very Poor,Very Poor,Very Poor,Poor,Very Poor,Agree,Agree,Agree,Agree,Elementary school,Asia,Asia,Cluster1,Cluster1,Cluster1,Cluster1,1,0%,,,,,,,,,,,,
2023-07-08,20s,Male,Postdoc,NU: Neutrino astronomy & physics,Theorist,3 - 5 years,Yes,No,Good,Good,Good,Good,Very Good,Agree,Agree,Agree,Agree,Junior High school,Europe,Europe,Cluster1,Cluster2,Cluster2,Cluster2,1,50%,,,,,,,,,,,,
2023-07-08,20s,Female,Master,GA: Gamma-ray astronomy,Experimentalist,3 - 5 years,Yes,No,Good,Poor,Good,Poor,Good,Agree,Agree,Agree,Agree,High school,Europe,Europe,Cluster1,Cluster2,Cluster1,Cluster2,1,50%,0.0,0.0,0.2407142857142857,0.4104761904761905,0.2166666666666666,0.4166666666666666,0.0,0.0,0.05,0.3,,
2023-07-08,20s,Female,Postdoc,CRI: Cosmic-ray physics (Indirect),Experimentalist,3 - 5 years,Yes,Yes,Good,Poor,Poor,Poor,Poor,Agree,No interest,Agree,Agree,Junior High school,Europe,Europe,Cluster1,Cluster1,Cluster1,Cluster1,1,20%,,,,,,,,,,,,
2023-07-08,30s,Male,Permanent staff,GA: Gamma-ray astronomy,Experimentalist,> 10 years,Yes,No,Very Good,Very Good,Very Good,Very Good,Poor,Agree,Agree,Agree,Agree,Elementary school,Europe,Europe,Cluster1,Cluster1,Cluster2,Cluster1,1,20%,,,,,,,,,,,,
2023-07-08,20s,Female,Fixed-term staff,MM&GW: Multimessenger & gravitational wave,Experimentalist,3 - 5 years,No,Yes,Good,Poor,Good,Poor,Poor,Agree,Agree,Agree,Agree,High school,Asia,Europe,Cluster1,Cluster1,Cluster1,Cluster1,4,20%,,,,,,,,,,,,
2023-07-08,30s,Male,Postdoc,NU: Neutrino astronomy & physics,Experimentalist,3 - 5 years,Yes,No,Very Good,Very Good,Very Good,Very Good,Good,Agree,Agree,Agree,Agree,Elementary school,Europe,Europe,Cluster1,Others,Cluster2,Cluster2,5,30%,,,,,,,,,,,,
2023-07-08,30s,Male,Fixed-term staff,GA: Gamma-ray astronomy,Experimentalist,5 - 10 yeas,Yes,No,Good,Poor,Good,Good,Good,Agree,Agree,Agree,Agree,High school,Asia,Asia,Cluster1,Cluster1,Cluster2,Others,3,20%,,,,,,,,,,,,
2023-07-08,20s,Female,Doctrate,NU: Neutrino astronomy & physics,Theorist,3 - 5 years,Yes,Yes,Good,Good,Good,Good,Poor,Agree,Agree,Agree,Agree,High school,America,Asia,Cluster1,Others,Cluster1,Others,2,30%,,,,,,,,,,,,
2023-07-08,20s,Female,Master,CRI: Cosmic-ray physics (Indirect),Theorist,1 - 3 years,Yes,No,Good,Good,Good,Poor,Very Good,Agree,Agree,Agree,Agree,Elementary school,America,America,Cluster1,Cluster2,Cluster1,Cluster2,2,(rare),,,,,,,,,,,,
2023-07-08,30s,Male,Postdoc,CRD: Cosmic-ray physics (Direct),Theorist,5 - 10 yeas,No,No,Poor,Good,Good,Poor,Poor,Agree,Agree,Agree,Agree,Junior High school,Europe,Europe,Cluster1,Others,Cluster2,Others,0,25%,,,,,,,,,0.0,0.0,,
2023-07-08,20s,Male,Doctrate,CRI: Cosmic-ray physics (Indirect),Experimentalist,1 - 3 years,No,Yes,Poor,Poor,Prefer not to answer,Very Poor,Very Poor,Agree,Agree,Prefer not to answer,No interest,Junior High school,Europe,Europe,Cluster1,Others,Cluster2,Others,4,30%,,,,,,,,,0.0625,0.3125,,
2023-07-09,20s,Male,Postdoc,CRD: Cosmic-ray physics (Direct),Theorist,5 - 10 yeas,No,No,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Very Poor,Agree,Agree,Agree,Agree,Pre school,Europe,Europe,Cluster1,Cluster1,Cluster2,Cluster1,0,0%,,,,,,,,,,,-0.3055555555555555,0.4518518518518519
2023-07-09,20s,Male,Doctrate,NU: Neutrino astronomy & physics,Experimentalist,1 - 3 years,Yes,Yes,Good,Poor,Poor,Very Good,Good,Agree,Agree,Agree,Agree,High school,Europe,Europe,Cluster1,Cluster2,Cluster2,Cluster2,2,60%,,,,,,,,,,,,
2023-07-09,20s,Male,Undergraduate,CRD: Cosmic-ray physics (Direct),Experimentalist,1 - 3 years,Yes,No,Good,Very Good,Very Good,Very Good,Very Poor,Agree,Agree,Agree,Agree,Pre school,America,America,Cluster1,Cluster1,Cluster2,Cluster1,1,20%,,,,,,,,,,,,
2023-07-09,50s,Male,Permanent staff,SH: Solar & heliospheric physics,Others,> 10 years,Yes,No,No interest,No interest,No interest,No interest,Good,No interest,No interest,No interest,No interest,High school,Europe,Europe,Cluster2,Others,Others,Others,Prefer not to answer,25%,,,,,,,,,,,,
2023-07-09,50s,Male,Doctrate,CRD: Cosmic-ray physics (Direct),Experimentalist,> 10 years,Yes,No,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Agree,Agree,Agree,Agree,Elementary school,Europe,Europe,Cluster2,Cluster1,Others,Others,6,Prefer not to answer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-09,20s,Female,Master,CRI: Cosmic-ray physics (Indirect),Experimentalist,1 - 3 years,Yes,No,Good,Good,Good,Good,Poor,Agree,Agree,Agree,Agree,Elementary school,Asia,Asia,Cluster1,Cluster1,Cluster1,Cluster1,2,0%,0.1,0.4499999999999999,0.25,0.3333333333333333,,,0.0,0.0,0.0,1.0,,
